Position (m) Run #1	Magnetic Field Strength (100X) (T) Run #1	Position (m) Run #2	Magnetic Field Strength (100X) (T) Run #2	Position (m) Run #3	Magnetic Field Strength (100X) (T) Run #3	Position (m) Run #4	Magnetic Field Strength (100X) (T) Run #4	Position (m) Run #5	Magnetic Field Strength (100X) (T) Run #5	Position (m) Run #6	Magnetic Field Strength (100X) (T) Run #6	Position (m) Run #7	Magnetic Field Strength (100X) (T) Run #7
0.0935	3.1E-5	0.0752	5.8E-5	0.0953	2.9E-5	0.1134	1.5E-5	0.1035	2.5E-5	0.1114	1.9E-5	0.0987	2.7E-5
0.0939	3.0E-5	0.0755	5.7E-5	0.0957	2.9E-5	0.1139	1.4E-5	0.1039	2.4E-5	0.1118	1.8E-5	0.0992	2.7E-5
0.0942	3.0E-5	0.0759	5.6E-5	0.0962	2.8E-5	0.1143	1.4E-5	0.1044	2.4E-5	0.1121	1.8E-5	0.0997	2.7E-5
0.0946	2.9E-5	0.0763	5.6E-5	0.0967	2.8E-5	0.1147	1.4E-5	0.1048	2.4E-5	0.1124	1.8E-5	0.1002	2.6E-5
0.0950	2.9E-5	0.0767	5.5E-5	0.0972	2.7E-5	0.1152	1.4E-5	0.1052	2.3E-5	0.1126	1.7E-5	0.1007	2.6E-5
0.0954	2.8E-5	0.0772	5.4E-5	0.0977	2.6E-5	0.1156	1.3E-5	0.1056	2.3E-5	0.1129	1.7E-5	0.1012	2.6E-5
0.0957	2.8E-5	0.0776	5.4E-5	0.0982	2.6E-5	0.1160	1.3E-5	0.1061	2.3E-5	0.1131	1.7E-5	0.1016	2.6E-5
0.0961	2.8E-5	0.0781	5.3E-5	0.0987	2.6E-5	0.1163	1.3E-5	0.1065	2.3E-5	0.1134	1.7E-5	0.1021	2.6E-5
0.0965	2.7E-5	0.0785	5.3E-5	0.0992	2.5E-5	0.1167	1.2E-5	0.1069	2.2E-5	0.1137	1.7E-5	0.1025	2.6E-5
0.0968	2.7E-5	0.0788	5.2E-5	0.0997	2.5E-5	0.1170	1.2E-5	0.1073	2.2E-5	0.1140	1.7E-5	0.1029	2.6E-5
0.0972	2.7E-5	0.0793	5.2E-5	0.1002	2.5E-5	0.1173	1.2E-5	0.1078	2.2E-5	0.1142	1.7E-5	0.1033	2.5E-5
0.0976	2.6E-5	0.0798	5.1E-5	0.1007	2.4E-5	0.1177	1.1E-5	0.1082	2.1E-5	0.1145	1.7E-5	0.1036	2.5E-5
0.0979	2.6E-5	0.0802	5.1E-5	0.1012	2.4E-5	0.1180	1.1E-5	0.1086	2.1E-5	0.1148	1.7E-5	0.1039	2.5E-5
0.0983	2.6E-5	0.0807	5.0E-5	0.1016	2.3E-5	0.1183	1.1E-5	0.1089	2.0E-5	0.1151	1.7E-5	0.1042	2.4E-5
0.0987	2.6E-5	0.0812	4.9E-5	0.1021	2.3E-5	0.1185	1.1E-5	0.1093	2.0E-5	0.1154	1.6E-5	0.1044	2.4E-5
