Position (m) Run #1	Magnetic Field Strength (100X) (T) Run #1	Position (m) Run #2	Magnetic Field Strength (100X) (T) Run #2	Position (m) Run #3	Magnetic Field Strength (100X) (T) Run #3	Position (m) Run #4	Magnetic Field Strength (100X) (T) Run #4	Position (m) Run #5	Magnetic Field Strength (100X) (T) Run #5	Position (m) Run #6	Magnetic Field Strength (100X) (T) Run #6	Position (m) Run #7	Magnetic Field Strength (100X) (T) Run #7
0.1168	9.6E-6					0.1245	6.4E-6					0.1171	5.2E-6
0.1169	9.5E-6					0.1245	6.4E-6					0.1171	5.2E-6
0.1171	9.4E-6					0.1245	6.4E-6					0.1171	5.2E-6
0.1172	9.3E-6					0.1245	6.4E-6					0.1171	5.1E-6
0.1173	9.1E-6					0.1245	6.5E-6					0.1171	
0.1173	8.9E-6					0.1245	6.5E-6						
0.1173	8.7E-6					0.1245	6.6E-6						
0.1173	8.6E-6					0.1245	6.6E-6						
0.1173	8.6E-6					0.1245	6.6E-6						
0.1173	8.5E-6					0.1245	6.6E-6						
0.1173	8.5E-6					0.1245	6.6E-6						
0.1174	8.5E-6					0.1245							
0.1175	8.5E-6												
0.1175	8.5E-6												
0.1176	8.4E-6												
0.1177	8.3E-6												
0.1178	8.1E-6												
0.1179	7.9E-6												
0.1180	7.7E-6												
0.1181	7.5E-6												
0.1183	7.3E-6												
0.1185	7.2E-6												
0.1186	7.1E-6												
0.1187	7.2E-6												
0.1189	7.3E-6												
0.1189	7.5E-6												
0.1190	7.6E-6												
0.1191	7.9E-6												
0.1192	8.0E-6												
0.1192	8.2E-6												
0.1192	8.1E-6												
0.1191	7.8E-6												
0.1191	7.6E-6												
0.1191	7.5E-6												
0.1191	7.5E-6												
0.1191	7.3E-6												
0.1191	7.1E-6												
0.1191	7.0E-6												
0.1191	7.0E-6												
0.1191	7.0E-6												
0.1191	6.9E-6												
0.1191	6.9E-6												
0.1191	6.8E-6												
0.1191	6.9E-6												
0.1191	6.9E-6												
0.1191	6.8E-6												
0.1191	6.8E-6												
0.1191	6.7E-6												
0.1191	6.7E-6												
0.1191	6.7E-6												
0.1191													
